"No.","Time","Source","Destination","Protocol","Length","Info"
"78","23.538338","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=24625 Ack=2880 Win=65536 Len=1368 TSval=3651859429 TSecr=3651858901"
"81","24.105924","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=25993 Ack=3039 Win=65408 Len=0 TSval=3651859996 TSecr=3651859996"
"82","24.647212","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=25993 Ack=3039 Win=65536 Len=1368 TSval=3651860538 TSecr=3651859996"
"85","25.213507","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=27361 Ack=3198 Win=65408 Len=0 TSval=3651861104 TSecr=3651861104"
"86","25.779015","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=27361 Ack=3198 Win=65536 Len=1368 TSval=3651861669 TSecr=3651861104"
"89","26.402885","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=28729 Ack=3357 Win=65408 Len=0 TSval=3651862293 TSecr=3651862293"
"90","26.928118","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=28729 Ack=3357 Win=65536 Len=1368 TSval=3651862818 TSecr=3651862293"
"93","27.509971","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=30097 Ack=3516 Win=65408 Len=0 TSval=3651863400 TSecr=3651863400"
"94","28.063923","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=30097 Ack=3516 Win=65536 Len=1368 TSval=3651863954 TSecr=3651863400"
"97","28.628506","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=31465 Ack=3675 Win=65408 Len=0 TSval=3651864519 TSecr=3651864519"
"98","29.151958","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=31465 Ack=3675 Win=65536 Len=1368 TSval=3651865042 TSecr=3651864519"
"101","29.723797","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=32833 Ack=3834 Win=65408 Len=0 TSval=3651865614 TSecr=3651865614"
"102","30.251687","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=32833 Ack=3834 Win=65536 Len=1368 TSval=3651866142 TSecr=3651865614"
"105","30.846804","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=34201 Ack=3993 Win=65408 Len=0 TSval=3651866737 TSecr=3651866737"
"106","31.414630","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=34201 Ack=3993 Win=65536 Len=1368 TSval=3651867305 TSecr=3651866737"
"109","32.020981","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=35569 Ack=4152 Win=65408 Len=0 TSval=3651867911 TSecr=3651867911"
"110","32.527536","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=35569 Ack=4152 Win=65536 Len=1368 TSval=3651868418 TSecr=3651867911"
"113","33.108058","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=36937 Ack=4311 Win=65408 Len=0 TSval=3651868998 TSecr=3651868998"
"114","33.662235","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=36937 Ack=4311 Win=65536 Len=1368 TSval=3651869553 TSecr=3651868998"
"117","34.280342","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=38305 Ack=4470 Win=65408 Len=0 TSval=3651870171 TSecr=3651870171"
"118","34.797149","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=38305 Ack=4470 Win=65536 Len=1368 TSval=3651870687 TSecr=3651870171"
"121","35.340587","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=39673 Ack=4629 Win=65408 Len=0 TSval=3651871231 TSecr=3651871231"
"122","35.859210","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=39673 Ack=4629 Win=65536 Len=1368 TSval=3651871750 TSecr=3651871231"
"125","36.421954","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=41041 Ack=4788 Win=65408 Len=0 TSval=3651872312 TSecr=3651872312"
"126","36.944919","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=41041 Ack=4788 Win=65536 Len=1368 TSval=3651872835 TSecr=3651872312"
"129","37.537101","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=42409 Ack=4947 Win=65408 Len=0 TSval=3651873427 TSecr=3651873427"
"130","38.106512","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=42409 Ack=4947 Win=65536 Len=1368 TSval=3651873997 TSecr=3651873427"
"133","38.705641","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=43777 Ack=5106 Win=65408 Len=0 TSval=3651874596 TSecr=3651874596"
"134","39.454153","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=43777 Ack=5106 Win=65536 Len=1368 TSval=3651875344 TSecr=3651874596"
"137","40.412514","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=45145 Ack=5265 Win=65408 Len=0 TSval=3651876303 TSecr=3651876303"
"138","41.057480","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=45145 Ack=5265 Win=65536 Len=1368 TSval=3651876948 TSecr=3651876303"
"141","41.647465","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=46513 Ack=5424 Win=65408 Len=0 TSval=3651877538 TSecr=3651877538"
"142","42.167576","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=46513 Ack=5424 Win=65536 Len=1368 TSval=3651878058 TSecr=3651877538"
"145","42.749279","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=47881 Ack=5583 Win=65408 Len=0 TSval=3651878640 TSecr=3651878639"
"146","43.294698","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=47881 Ack=5583 Win=65536 Len=1368 TSval=3651879185 TSecr=3651878639"
"149","43.901238","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=49249 Ack=5742 Win=65408 Len=0 TSval=3651879792 TSecr=3651879792"
"150","44.416903","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=49249 Ack=5742 Win=65536 Len=1368 TSval=3651880307 TSecr=3651879792"
"153","45.033599","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=50617 Ack=5901 Win=65408 Len=0 TSval=3651880924 TSecr=3651880924"
"154","45.597824","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=50617 Ack=5901 Win=65536 Len=1368 TSval=3651881488 TSecr=3651880924"
"157","46.229236","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=51985 Ack=6060 Win=65408 Len=0 TSval=3651882120 TSecr=3651882120"
"158","46.801299","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=51985 Ack=6060 Win=65536 Len=1368 TSval=3651882692 TSecr=3651882120"
"161","47.382931","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=53353 Ack=6219 Win=65408 Len=0 TSval=3651883273 TSecr=3651883273"
"162","47.909540","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=53353 Ack=6219 Win=65536 Len=1368 TSval=3651883800 TSecr=3651883273"
"165","48.508911","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=54721 Ack=6378 Win=65408 Len=0 TSval=3651884399 TSecr=3651884399"
"166","49.046218","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=54721 Ack=6378 Win=65536 Len=1368 TSval=3651884937 TSecr=3651884399"
"169","49.706996","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=56089 Ack=6537 Win=65408 Len=0 TSval=3651885597 TSecr=3651885597"
"170","50.319797","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=56089 Ack=6537 Win=65536 Len=1368 TSval=3651886210 TSecr=3651885597"
"173","51.007848","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=57457 Ack=6696 Win=65408 Len=0 TSval=3651886898 TSecr=3651886898"
"174","51.768029","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=57457 Ack=6696 Win=65536 Len=1368 TSval=3651887658 TSecr=3651886898"
"177","52.393186","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=58825 Ack=6855 Win=65408 Len=0 TSval=3651888284 TSecr=3651888283"
"178","52.928079","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=58825 Ack=6855 Win=65536 Len=1368 TSval=3651888818 TSecr=3651888283"
"181","53.524098","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=60193 Ack=7014 Win=65408 Len=0 TSval=3651889414 TSecr=3651889414"
"182","54.076315","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=60193 Ack=7014 Win=65536 Len=1368 TSval=3651889967 TSecr=3651889414"
"185","54.672157","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=61561 Ack=7173 Win=65408 Len=0 TSval=3651890562 TSecr=3651890562"
"186","55.208156","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=61561 Ack=7173 Win=65536 Len=1368 TSval=3651891098 TSecr=3651890562"
"189","55.838280","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=62929 Ack=7332 Win=65408 Len=0 TSval=3651891729 TSecr=3651891729"
"190","56.397156","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=62929 Ack=7332 Win=65536 Len=1368 TSval=3651892287 TSecr=3651891729"
"193","57.236542","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=64297 Ack=7491 Win=65408 Len=0 TSval=3651893127 TSecr=3651893127"
"194","57.850172","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=64297 Ack=7491 Win=65536 Len=1368 TSval=3651893741 TSecr=3651893127"
"197","58.500525","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=65665 Ack=7650 Win=65408 Len=0 TSval=3651894391 TSecr=3651894391"
"198","59.059136","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=65665 Ack=7650 Win=65536 Len=1368 TSval=3651894949 TSecr=3651894391"
"201","59.658745","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=67033 Ack=7809 Win=65408 Len=0 TSval=3651895549 TSecr=3651895549"
"202","60.268523","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=67033 Ack=7809 Win=65536 Len=1368 TSval=3651896159 TSecr=3651895549"
"205","60.845322","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=68401 Ack=7968 Win=65408 Len=0 TSval=3651896736 TSecr=3651896736"
"206","61.803988","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=68401 Ack=7968 Win=65536 Len=1368 TSval=3651897694 TSecr=3651896736"
"209","62.489342","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=69769 Ack=8127 Win=65408 Len=0 TSval=3651898380 TSecr=3651898380"
"210","63.017501","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=69769 Ack=8127 Win=65536 Len=1368 TSval=3651898908 TSecr=3651898380"
"213","63.582328","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=71137 Ack=8286 Win=65408 Len=0 TSval=3651899473 TSecr=3651899473"
"214","64.127458","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=71137 Ack=8286 Win=65536 Len=1368 TSval=3651900018 TSecr=3651899473"
"217","64.712880","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=72505 Ack=8445 Win=65408 Len=0 TSval=3651900603 TSecr=3651900603"
"218","65.263568","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=72505 Ack=8445 Win=65536 Len=1368 TSval=3651901154 TSecr=3651900603"
"221","65.868260","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=73873 Ack=8604 Win=65408 Len=0 TSval=3651901759 TSecr=3651901759"
"222","66.464639","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=73873 Ack=8604 Win=65536 Len=1368 TSval=3651902355 TSecr=3651901759"
"225","67.176333","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=75241 Ack=8763 Win=65408 Len=0 TSval=3651903067 TSecr=3651903067"
"226","67.760661","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=75241 Ack=8763 Win=65536 Len=1368 TSval=3651903651 TSecr=3651903067"
"229","68.342003","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=76609 Ack=8922 Win=65408 Len=0 TSval=3651904232 TSecr=3651904232"
"230","68.882877","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=76609 Ack=8922 Win=65536 Len=1368 TSval=3651904773 TSecr=3651904232"
"233","69.461821","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=77977 Ack=9081 Win=65408 Len=0 TSval=3651905352 TSecr=3651905352"
"234","70.165171","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=77977 Ack=9081 Win=65536 Len=1368 TSval=3651906055 TSecr=3651905352"
"237","70.821123","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=79345 Ack=9240 Win=65408 Len=0 TSval=3651906711 TSecr=3651906711"
"238","71.661978","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=79345 Ack=9240 Win=65536 Len=1368 TSval=3651907552 TSecr=3651906711"
"241","72.244190","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=80713 Ack=9399 Win=65408 Len=0 TSval=3651908135 TSecr=3651908134"
"242","72.792934","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=80713 Ack=9399 Win=65536 Len=1368 TSval=3651908683 TSecr=3651908134"
"245","73.653943","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=82081 Ack=9558 Win=65408 Len=0 TSval=3651909544 TSecr=3651909544"
"246","74.199032","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=82081 Ack=9558 Win=65536 Len=1368 TSval=3651910089 TSecr=3651909544"
"249","74.777342","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=83449 Ack=9717 Win=65408 Len=0 TSval=3651910668 TSecr=3651910668"
"250","75.301348","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=83449 Ack=9717 Win=65536 Len=1368 TSval=3651911192 TSecr=3651910668"
"253","75.909726","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=84817 Ack=9876 Win=65408 Len=0 TSval=3651911800 TSecr=3651911800"
"254","76.433041","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=84817 Ack=9876 Win=65536 Len=1368 TSval=3651912323 TSecr=3651911800"
"257","77.018686","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=86185 Ack=10035 Win=65408 Len=0 TSval=3651912909 TSecr=3651912909"
"258","77.547085","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=86185 Ack=10035 Win=65536 Len=1368 TSval=3651913437 TSecr=3651912909"
"261","78.154222","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=87553 Ack=10194 Win=65408 Len=0 TSval=3651914044 TSecr=3651914044"
"262","78.724116","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=87553 Ack=10194 Win=65536 Len=1368 TSval=3651914614 TSecr=3651914044"
"265","79.324583","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=88921 Ack=10353 Win=65408 Len=0 TSval=3651915215 TSecr=3651915215"
"266","79.908661","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=88921 Ack=10353 Win=65536 Len=1368 TSval=3651915799 TSecr=3651915215"
"269","80.747650","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=90289 Ack=10512 Win=65408 Len=0 TSval=3651916638 TSecr=3651916638"
"270","81.324896","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=90289 Ack=10512 Win=65536 Len=1368 TSval=3651917215 TSecr=3651916638"
"273","81.953510","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=91657 Ack=10671 Win=65408 Len=0 TSval=3651917844 TSecr=3651917844"
"274","82.491590","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=91657 Ack=10671 Win=65536 Len=1368 TSval=3651918382 TSecr=3651917844"
"277","83.078762","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=93025 Ack=10830 Win=65408 Len=0 TSval=3651918969 TSecr=3651918969"
"278","83.588040","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=93025 Ack=10830 Win=65536 Len=1368 TSval=3651919478 TSecr=3651918969"
"281","84.194038","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=94393 Ack=10989 Win=65408 Len=0 TSval=3651920084 TSecr=3651920084"
"282","84.763539","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=94393 Ack=10989 Win=65536 Len=1368 TSval=3651920654 TSecr=3651920084"
"285","85.386163","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=95761 Ack=11148 Win=65408 Len=0 TSval=3651921276 TSecr=3651921276"
"286","85.941021","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=95761 Ack=11148 Win=65536 Len=1368 TSval=3651921831 TSecr=3651921276"
"289","86.511972","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=97129 Ack=11307 Win=65408 Len=0 TSval=3651922402 TSecr=3651922402"
"290","87.063053","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=97129 Ack=11307 Win=65536 Len=1368 TSval=3651922953 TSecr=3651922402"
"293","87.653192","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=98497 Ack=11466 Win=65408 Len=0 TSval=3651923544 TSecr=3651923543"
"294","88.182066","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=98497 Ack=11466 Win=65536 Len=1368 TSval=3651924072 TSecr=3651923543"
"297","88.756040","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=99865 Ack=11625 Win=65408 Len=0 TSval=3651924646 TSecr=3651924646"
"298","89.386747","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=99865 Ack=11625 Win=65536 Len=1368 TSval=3651925277 TSecr=3651924646"
"301","90.105721","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=101233 Ack=11784 Win=65408 Len=0 TSval=3651925996 TSecr=3651925996"
"302","90.625174","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=101233 Ack=11784 Win=65536 Len=1368 TSval=3651926516 TSecr=3651925996"
"305","91.241679","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=102601 Ack=11943 Win=65408 Len=0 TSval=3651927132 TSecr=3651927132"
"306","91.782791","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=102601 Ack=11943 Win=65536 Len=1368 TSval=3651927673 TSecr=3651927132"
